id,person,recommended_recipes,healthiness,created
41,22,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 09:48:17.573574+00:00
40,20,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 09:47:04.024647+00:00
39,20,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 09:47:04.019889+00:00
38,24,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:47:01.157531+00:00
37,24,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:47:01.154796+00:00
36,23,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-11 09:46:55.391879+00:00
35,23,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 09:46:55.389001+00:00
34,19,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 09:46:25.074713+00:00
33,19,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 09:46:25.068357+00:00
32,17,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 09:46:19.214828+00:00
31,17,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 09:46:19.212079+00:00
30,21,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-11 09:45:48.947853+00:00
29,21,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-11 09:45:48.945316+00:00
28,12,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:45:18.311048+00:00
27,12,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:45:18.308628+00:00
26,15,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-11 09:44:01.875271+00:00
25,15,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-11 09:44:01.872716+00:00
24,11,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-11 09:43:16.757935+00:00
23,11,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-11 09:43:16.754351+00:00
22,13,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 09:43:16.212516+00:00
21,13,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 09:43:16.206352+00:00
20,10,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:43:04.369739+00:00
19,10,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:43:04.362721+00:00
18,14,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 09:43:02.108690+00:00
17,14,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 09:43:02.105940+00:00
16,9,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 09:42:40.225128+00:00
15,9,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 09:42:40.222342+00:00
14,8,"[3489, 5227, 4051, 4044, 5876]",Unhealthy,2024-12-11 09:35:45.433584+00:00
13,8,"[561, 1828, 3003, 433, 236]",Healthy,2024-12-11 09:35:45.431138+00:00
12,6,"[5474, 6203, 5364, 5133, 6563]",Unhealthy,2024-12-11 09:29:48.244302+00:00
11,6,"[2803, 2106, 2955, 200, 2746]",Healthy,2024-12-11 09:29:48.241575+00:00
10,4,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 09:29:00.485041+00:00
9,4,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 09:29:00.480846+00:00
8,5,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-11 09:28:15.073030+00:00
7,5,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 09:28:15.070336+00:00
6,3,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 09:25:13.705940+00:00
5,3,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 09:25:13.703274+00:00
